Field,Range,Description
Lachnoanaerobaculum sp. MSX33 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnoanaerobaculum sp. OBRC5-5 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnoanaerobaculum umeaense ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnoclostridium ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnoclostridium phocaeense ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnoclostridium phocaeense strain Marseille-P3177T sp. Marseille-P3177 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnoclostridium sp. YL32 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnoclostridium sp. YL32 sp. YL32 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospira ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospira pectinoschiza strain 2789STDY5834836 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospira pectinoschiza strain 2789STDY5834886 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospiraceae bacterium ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospiraceae bacterium 10-1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospiraceae bacterium 1_1_57FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospiraceae bacterium 1_4_56FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospiraceae bacterium 2_1_46FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospiraceae bacterium 2_1_58FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospiraceae bacterium 3-1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospiraceae bacterium 3_1_46FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospiraceae bacterium 3_1_57FAA_CT1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospiraceae bacterium 5_1_57FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospiraceae bacterium 5_1_63FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospiraceae bacterium 6_1_37FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospiraceae bacterium 6_1_63FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospiraceae bacterium 7_1_58FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospiraceae bacterium 9_1_43BFAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospiraceae bacterium A2 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospiraceae bacterium COE1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospiraceae bacterium M18-1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospiraceae bacterium TF01-11 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospiraceae bacterium V9D3004 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lachnospiraceae bacterium oral taxon 082 str. F0431 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lacrimispora ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lacticaseibacillus paracasei ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lacticaseibacillus paracasei subsp. tolerans ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lacticaseibacillus rhamnosus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactiplantibacillus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactiplantibacillus plantarum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactiplantibacillus plantarum subsp. plantarum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus animalis strain 381-IL-28 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus casei ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus casei UW1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus casei strain DPC6800 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus casei strain Z11 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus casei subsp. casei ATCC 393 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus coryniformis subsp. torquens DSM 20004 = KCTC 3535 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus crispatus strain C25 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus crispatus strain PSS7772C ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus crispatus strain VMC7 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus curvatus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus curvatus JCM 1096 = DSM 20019 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus curvatus strain NRIC0822 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus curvatus strain RI-406 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus fermentum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus frumenti ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus gasseri ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus gasseri ATCC 33323 = JCM 1131 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus helveticus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus jensenii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus jensenii strain SNUV360 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus johnsonii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus kefiri ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus manihotivorans DSM 13343 = JCM 12514 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus mucosae LM1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus nenjiangensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus oligofermentans DSM 15707 = LMG 22743 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus paracasei ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus paracasei ATCC 334 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus paracasei N1115 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus paracasei strain 275_LPAR ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus paracasei strain CAUH35 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus paracasei strain DSM ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus paracasei strain KL1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus paracasei subsp. paracasei JCM 8130 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus paracasei subsp. paracasei Lpp14 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus paracasei subsp. paracasei Lpp17 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus paracasei subsp. paracasei Lpp22 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus paracasei subsp. paracasei Lpp225 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus paragasseri ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus paralimentarius DSM 19674 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus plantarum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus plantarum 16 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus plantarum strain CAUH2 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus plantarum subsp. plantarum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus plantarum subsp. plantarum ST-III ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus reuteri ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus reuteri strain 484_39 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus rhamnosus ATCC 8530 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus rhamnosus LOCK908 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus rhamnosus Lc 705 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus rhamnosus strain 40f ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus rhamnosus strain BPL5 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus ruminis ATCC 25644 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus ruminis S23 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus ruminis strain WC1T17 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus sakei ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus sakei subsp. sakei 23K ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus sanfranciscensis DSM 20451 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus sanfranciscensis TMW 1.1304 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactobacillus sp. HMSC056D05 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactococcus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactococcus chungangensis CAU 28 = DSM 22330 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactococcus cremoris ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactococcus garvieae ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactococcus phage 79201 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactococcus phage 88605 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactococcus phage CHPC362 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactococcus phage CHPC965 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactococcus phage M6165 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactococcus phage ul36 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactococcus plantarum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactococcus raffinolactis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactococcus sp. 159469 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactococcus sp. DD01 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactococcus sp. LG1074 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactococcus sp. LG1267 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactococcus sp. LG592 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactococcus sp. LG606 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactococcus virus bIL67 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactococcus virus c2 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactonifactor longoviformis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lactonifactor longoviformis DSM 17459 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lancefieldella ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Latilactobacillus curvatus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Latilactobacillus sakei ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lautropia ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lautropia mirabilis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leclercia adecarboxylata ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leclercia sp. J807 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leclercia sp. LSNIH3 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lelliottia amnigena ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leptotrichia ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leptotrichia hongkongensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leptotrichia shahii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leptotrichia sp. oral taxon 212 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leptotrichia sp. oral taxon 498 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leptotrichia trevisanii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leptotrichia wadei ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc carnosum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc carnosum JB16 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc citreum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc citreum KM20 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc falkenbergense ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc gelidum JB7 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc gelidum subsp. gasicomitatum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc gelidum subsp. gasicomitatum KG16-1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc inhae KCTC 3774 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc kimchii IMSNU 11154 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc lactis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc mesenteroides ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc mesenteroides subsp. cremoris ATCC 19254 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc mesenteroides subsp. cremoris TIFN8 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc mesenteroides subsp. dextranicum strain LbE15 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc mesenteroides subsp. mesenteroides ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc mesenteroides subsp. mesenteroides J18 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc mesenteroides subsp. mesenteroides strain DRC0211 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc mesenteroides.1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc pseudomesenteroides ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc sp. LN180020 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Leuconostoc suionicum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Levilactobacillus brevis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Levyella massiliensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ligilactobacillus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ligilactobacillus animalis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ligilactobacillus salivarius ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Limosilactobacillus fermentum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Limosilactobacillus frumenti ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Limosilactobacillus mucosae ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Limosilactobacillus vaginalis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Loigolactobacillus backii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Longibaculum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Longibaculum sp. KGMB06250 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Lysobacter gummosus strain 3.2.11 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Macrococcus caseolyticus JCSC5402 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Mageeibacillus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Malassezia restricta ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Mannheimia ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Marvinbryantia formatexigens DSM 14469 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Marvinbryantia formatexigens strain I-52 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Massilioclostridium coli strain Marseille-P2976 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Massiliomicrobiota timonensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Massilistercora timonensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Mediterranea massiliensis strain Marseille-P2645 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Mediterraneibacter ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Megamonas funiformis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Megamonas rupellensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Megasphaera elsdenii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Megasphaera elsdenii 14-14 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Megasphaera elsdenii DSM 20460 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Megasphaera micronuciformis F0359 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Megasphaera sp. DISK 18 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Megasphaera sp. MJR8396C ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Megasphaera stantonii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Merdibacter massiliensis strain Marseille-P3254 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Mesorhizobium ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Mesorhizobium soli ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Methanobrevibacter smithii ATCC 35061 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Methanobrevibacter smithii TS145A ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Methanosphaera stadtmanae DSM 3091 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Microbacterium paludicola ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Mitsuokella jalaludinii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Mobiluncus curtisii ATCC 43063 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Mogibacterium ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Mogibacterium diversum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Mogibacterium sp. CM50 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Mogibacterium sp. Marseille-P3115 sp. Marseille-P3115 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Mogibacterium timidum ATCC 33093 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Moraxella nonliquefaciens ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Morganella morganii subsp. morganii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Mucispirillum schaedleri ASF457 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Murdochiella vaginalis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Muribaculum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Muribaculum intestinale ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Mycoplasma arginini ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Myroides odoratimimus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Myroides odoratimimus strain PR63039 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Myroides phaeus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Nannochloropsis gaditana CCMP526 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ndongobacter massiliensis strain Marseille-P3170T sp. Marseille-P3170 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Nectarine marafivirus M ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Nectria haematococca mpVI 77-13-4 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Negativicoccus massiliensis strain AT7 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Neglecta timonensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Neisseria ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Neisseria bacilliformis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Neisseria elongata ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Neisseria mucosa ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Neisseria sp. HMSC055H02 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Neisseria subflava ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Obesumbacterium proteus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ochrobactrum anthropi ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ochrobactrum intermedium M86 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Odoribacter ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Odoribacter laneus YIT 12061 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Odoribacter splanchnicus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
